BIDEN,WHITE,LIBERAL,GENDER,DEMOCRAT,REPUBLICAN,PARTY_ID,EDUCATION,BIRTHPLACE,OWNER,INCOME,AGE
1,NO,NO,Male,Yes Democrat,Not Republican,Democrat,17+yrs,USA,DO NOT OWN,"$60,000-$99,999",29
0,YES,NO,Male,Not Democrat,Yes Republican,Republican,12yrs-15yrs,USA,DO NOT OWN,"Less than $20,000",65
0,YES,NO,Male,Not Democrat,Yes Republican,Republican,12yrs-15yrs,USA,DO NOT OWN,"Less than $20,000",78
0,YES,NO,Male,Not Democrat,Yes Republican,Republican,12yrs-15yrs,USA,OWN RESIDENCE,"$150,000-$199,999",66
1,YES,YES,Male,Yes Democrat,Not Republican,Democrat,17+yrs,NOT USA,OWN RESIDENCE,"$200,000 or more",53
1,YES,NO,Male,Not Democrat,Not Republican,Other,16yrs,USA,OWN RESIDENCE,"$150,000-$199,999",53
1,YES,NO,Male,Not Democrat,Yes Republican,Republican,17+yrs,USA,DO NOT OWN,"$60,000-$99,999",26
0,YES,NO,Male,Not Democrat,Not Republican,Other,17+yrs,USA,DO NOT OWN,"$200,000 or more",33
1,NO,YES,Male,Yes Democrat,Not Republican,Democrat,0-12yrs,USA,OWN RESIDENCE,"$200,000 or more",53
1,YES,YES,Male,Not Democrat,Not Republican,Other,12yrs-15yrs,USA,OWN RESIDENCE,"$150,000-$199,999",39
1,YES,YES,Female,Yes Democrat,Not Republican,Democrat,17+yrs,USA,DO NOT OWN,"$20,000-$39,999",40
0,NO,NO,Female,Not Democrat,Yes Republican,Republican,12yrs-15yrs,USA,DO NOT OWN,"$60,000-$99,999",41
1,YES,YES,Female,Yes Democrat,Not Republican,Democrat,16yrs,USA,OWN RESIDENCE,"$150,000-$199,999",32
0,NO,NO,Female,Yes Democrat,Not Republican,Democrat,12yrs-15yrs,USA,DO NOT OWN,"$40,000-$59,999",32
1,YES,YES,Male,Yes Democrat,Not Republican,Democrat,17+yrs,USA,OWN RESIDENCE,"$20,000-$39,999",35
1,YES,YES,Female,Yes Democrat,Not Republican,Democrat,12yrs-15yrs,USA,DO NOT OWN,"$20,000-$39,999",76
1,YES,YES,Female,Yes Democrat,Not Republican,Democrat,16yrs,USA,OWN RESIDENCE,"$150,000-$199,999",34
1,YES,YES,Male,Yes Democrat,Not Republican,Democrat,12yrs,USA,DO NOT OWN,"$40,000-$59,999",36
1,YES,YES,Female,Not Democrat,Not Republican,Other,17+yrs,USA,OWN RESIDENCE,"Less than $20,000",59
1,NO,YES,Female,Yes Democrat,Not Republican,Democrat,17+yrs,USA,OWN RESIDENCE,"$40,000-$59,999",75
0,YES,NO,Female,Not Democrat,Yes Republican,Republican,17+yrs,USA,OWN RESIDENCE,"$200,000 or more",55
1,YES,YES,Female,Yes Democrat,Not Republican,Democrat,12yrs-15yrs,USA,OWN RESIDENCE,"$60,000-$99,999",71
0,YES,NO,Male,Not Democrat,Yes Republican,Republican,16yrs,USA,OWN RESIDENCE,"$100,000-$149,999",31
0,YES,NO,Female,Not Democrat,Yes Republican,Republican,12yrs-15yrs,USA,OWN RESIDENCE,"$20,000-$39,999",18
0,YES,NO,Male,Not Democrat,Yes Republican,Republican,12yrs-15yrs,USA,OWN RESIDENCE,"$60,000-$99,999",75
1,YES,YES,Female,Yes Democrat,Not Republican,Democrat,16yrs,USA,DO NOT OWN,"$20,000-$39,999",25
1,NO,YES,Male,Yes Democrat,Not Republican,Democrat,16yrs,USA,DO NOT OWN,"$20,000-$39,999",23
0,NO,NO,Male,Not Democrat,Not Republican,Other,12yrs,USA,DO NOT OWN,"Less than $20,000",39
0,NO,NO,Male,Not Democrat,Not Republican,Other,16yrs,USA,DO NOT OWN,"$100,000-$149,999",33
1,YES,YES,Female,Yes Democrat,Not Republican,Democrat,16yrs,USA,DO NOT OWN,"$100,000-$149,999",45
0,YES,NO,Male,Not Democrat,Yes Republican,Republican,17+yrs,USA,OWN RESIDENCE,"$150,000-$199,999",83
0,YES,NO,Male,Not Democrat,Yes Republican,Republican,17+yrs,USA,OWN RESIDENCE,"$150,000-$199,999",56
1,YES,YES,Female,Yes Democrat,Not Republican,Democrat,16yrs,USA,DO NOT OWN,"$40,000-$59,999",29
1,YES,NO,Female,Yes Democrat,Not Republican,Democrat,16yrs,NOT USA,OWN RESIDENCE,"$200,000 or more",63
1,YES,YES,Male,Yes Democrat,Not Republican,Democrat,12yrs-15yrs,USA,DO NOT OWN,"$40,000-$59,999",70
1,YES,NO,Male,Not Democrat,Not Republican,Other,17+yrs,USA,OWN RESIDENCE,"$200,000 or more",42
1,NO,YES,Male,Not Democrat,Not Republican,Other,16yrs,USA,DO NOT OWN,"$150,000-$199,999",25
1,NO,NO,Male,Not Democrat,Yes Republican,Republican,17+yrs,NOT USA,OWN RESIDENCE,"$150,000-$199,999",77
1,NO,YES,Female,Yes Democrat,Not Republican,Democrat,16yrs,NOT USA,OWN RESIDENCE,"$100,000-$149,999",42
0,YES,NO,Female,Not Democrat,Yes Republican,Republican,12yrs-15yrs,USA,OWN RESIDENCE,"$200,000 or more",78
1,YES,YES,Male,Not Democrat,Not Republican,Other,17+yrs,USA,DO NOT OWN,"$60,000-$99,999",36
0,NO,YES,Female,Yes Democrat,Not Republican,Democrat,16yrs,USA,DO NOT OWN,"$20,000-$39,999",34
1,YES,NO,Male,Not Democrat,Not Republican,Other,16yrs,USA,OWN RESIDENCE,"$150,000-$199,999",53
0,YES,NO,Female,Not Democrat,Yes Republican,Republican,16yrs,USA,OWN RESIDENCE,"$60,000-$99,999",69
0,YES,NO,Male,Not Democrat,Yes Republican,Republican,17+yrs,USA,DO NOT OWN,"$200,000 or more",42
0,YES,NO,Female,Not Democrat,Yes Republican,Republican,12yrs-15yrs,USA,OWN RESIDENCE,"$100,000-$149,999",46
1,YES,YES,Male,Not Democrat,Not Republican,Other,17+yrs,USA,DO NOT OWN,"$200,000 or more",29
0,YES,NO,Male,Not Democrat,Not Republican,Other,12yrs-15yrs,USA,OWN RESIDENCE,"$60,000-$99,999",55
1,NO,YES,Male,Yes Democrat,Not Republican,Democrat,16yrs,USA,DO NOT OWN,"$40,000-$59,999",32
1,YES,YES,Female,Yes Democrat,Not Republican,Democrat,17+yrs,USA,DO NOT OWN,"$200,000 or more",35
0,YES,NO,Female,Not Democrat,Yes Republican,Republican,12yrs,USA,DO NOT OWN,"$100,000-$149,999",22
1,YES,YES,Male,Yes Democrat,Not Republican,Democrat,17+yrs,USA,DO NOT OWN,"$100,000-$149,999",30
1,YES,YES,Male,Yes Democrat,Not Republican,Democrat,16yrs,USA,OWN RESIDENCE,"$200,000 or more",33
1,NO,YES,Male,Yes Democrat,Not Republican,Democrat,12yrs-15yrs,USA,DO NOT OWN,"$100,000-$149,999",40
1,NO,YES,Female,Yes Democrat,Not Republican,Democrat,17+yrs,USA,DO NOT OWN,"Less than $20,000",34
1,YES,YES,Female,Yes Democrat,Not Republican,Democrat,17+yrs,USA,OWN RESIDENCE,"$150,000-$199,999",77
1,NO,YES,Female,Yes Democrat,Not Republican,Democrat,17+yrs,NOT USA,DO NOT OWN,"$100,000-$149,999",35
0,YES,NO,Male,Not Democrat,Not Republican,Other,16yrs,NOT USA,OWN RESIDENCE,"$200,000 or more",43
0,NO,NO,Female,Not Democrat,Yes Republican,Republican,16yrs,NOT USA,OWN RESIDENCE,"$40,000-$59,999",73
0,YES,NO,Male,Not Democrat,Yes Republican,Republican,16yrs,USA,OWN RESIDENCE,"$200,000 or more",76
1,NO,NO,Female,Not Democrat,Not Republican,Other,17+yrs,USA,OWN RESIDENCE,"$150,000-$199,999",43
0,YES,NO,Male,Not Democrat,Yes Republican,Republican,17+yrs,USA,OWN RESIDENCE,"$150,000-$199,999",77
0,YES,NO,Male,Not Democrat,Yes Republican,Republican,17+yrs,USA,OWN RESIDENCE,"$150,000-$199,999",61
1,YES,YES,Female,Yes Democrat,Not Republican,Democrat,17+yrs,USA,DO NOT OWN,"$200,000 or more",29
0,NO,YES,Male,Yes Democrat,Not Republican,Democrat,17+yrs,NOT USA,DO NOT OWN,"$200,000 or more",56
0,YES,YES,Female,Yes Democrat,Not Republican,Democrat,16yrs,USA,DO NOT OWN,"Less than $20,000",27
0,YES,NO,Male,Not Democrat,Yes Republican,Republican,12yrs-15yrs,NOT USA,OWN RESIDENCE,"$200,000 or more",62
1,NO,NO,Female,Not Democrat,Not Republican,Other,17+yrs,USA,OWN RESIDENCE,"$200,000 or more",43
0,YES,NO,Male,Not Democrat,Yes Republican,Republican,12yrs-15yrs,USA,OWN RESIDENCE,"$100,000-$149,999",62
1,NO,YES,Male,Yes Democrat,Not Republican,Democrat,12yrs-15yrs,USA,OWN RESIDENCE,"$200,000 or more",31
1,YES,NO,Female,Yes Democrat,Not Republican,Democrat,16yrs,USA,OWN RESIDENCE,"$200,000 or more",34
0,YES,NO,Male,Not Democrat,Not Republican,Other,16yrs,NOT USA,OWN RESIDENCE,"$200,000 or more",35
1,YES,NO,Male,Not Democrat,Not Republican,Other,17+yrs,USA,OWN RESIDENCE,"$200,000 or more",71
1,YES,YES,Female,Yes Democrat,Not Republican,Democrat,12yrs-15yrs,USA,OWN RESIDENCE,"$100,000-$149,999",59
1,YES,YES,Male,Yes Democrat,Not Republican,Democrat,12yrs,USA,DO NOT OWN,"$40,000-$59,999",24
0,NO,NO,Male,Not Democrat,Yes Republican,Republican,16yrs,USA,OWN RESIDENCE,"$60,000-$99,999",65
1,NO,YES,Female,Not Democrat,Not Republican,Other,17+yrs,USA,OWN RESIDENCE,"$200,000 or more",36
0,YES,NO,Male,Yes Democrat,Not Republican,Democrat,16yrs,USA,OWN RESIDENCE,"$200,000 or more",31
1,YES,YES,Female,Yes Democrat,Not Republican,Democrat,17+yrs,USA,DO NOT OWN,"$60,000-$99,999",72
1,YES,YES,Female,Yes Democrat,Not Republican,Democrat,12yrs-15yrs,USA,DO NOT OWN,"$60,000-$99,999",27
0,YES,NO,Male,Not Democrat,Yes Republican,Republican,12yrs-15yrs,USA,OWN RESIDENCE,"$100,000-$149,999",80
0,YES,NO,Male,Not Democrat,Not Republican,Other,12yrs-15yrs,USA,DO NOT OWN,"$40,000-$59,999",25
0,YES,NO,Male,Yes Democrat,Not Republican,Democrat,17+yrs,USA,OWN RESIDENCE,"$200,000 or more",49
1,YES,NO,Female,Yes Democrat,Not Republican,Democrat,16yrs,USA,DO NOT OWN,"$200,000 or more",31
1,NO,NO,Female,Yes Democrat,Not Republican,Democrat,16yrs,USA,DO NOT OWN,"$60,000-$99,999",64
0,NO,NO,Male,Not Democrat,Yes Republican,Republican,17+yrs,USA,OWN RESIDENCE,"$200,000 or more",59
0,YES,NO,Female,Not Democrat,Yes Republican,Republican,12yrs-15yrs,USA,DO NOT OWN,"$60,000-$99,999",34
1,NO,YES,Female,Yes Democrat,Not Republican,Democrat,16yrs,USA,DO NOT OWN,"$20,000-$39,999",23
0,NO,NO,Male,Not Democrat,Not Republican,Other,16yrs,USA,OWN RESIDENCE,"$200,000 or more",49
1,YES,YES,Male,Yes Democrat,Not Republican,Democrat,16yrs,USA,DO NOT OWN,"Less than $20,000",49
0,NO,NO,Male,Not Democrat,Yes Republican,Republican,17+yrs,USA,DO NOT OWN,"$200,000 or more",28
0,YES,NO,Male,Not Democrat,Yes Republican,Republican,16yrs,USA,DO NOT OWN,"$60,000-$99,999",24
0,YES,NO,Male,Not Democrat,Not Republican,Other,17+yrs,USA,OWN RESIDENCE,"$200,000 or more",70
1,YES,YES,Female,Yes Democrat,Not Republican,Democrat,16yrs,USA,DO NOT OWN,"Less than $20,000",24
1,NO,YES,Male,Yes Democrat,Not Republican,Democrat,12yrs-15yrs,USA,DO NOT OWN,"$60,000-$99,999",22
1,YES,YES,Female,Yes Democrat,Not Republican,Democrat,12yrs-15yrs,USA,DO NOT OWN,"$200,000 or more",67
0,YES,YES,Female,Yes Democrat,Not Republican,Democrat,16yrs,USA,OWN RESIDENCE,"$60,000-$99,999",56
0,YES,YES,Female,Yes Democrat,Not Republican,Democrat,17+yrs,USA,DO NOT OWN,"$150,000-$199,999",26
1,YES,YES,Male,Yes Democrat,Not Republican,Democrat,12yrs,USA,DO NOT OWN,"$40,000-$59,999",54
1,YES,YES,Male,Yes Democrat,Not Republican,Democrat,16yrs,USA,DO NOT OWN,"$100,000-$149,999",29
1,YES,NO,Male,Not Democrat,Not Republican,Other,17+yrs,USA,OWN RESIDENCE,"$100,000-$149,999",56
0,NO,NO,Female,Not Democrat,Yes Republican,Republican,16yrs,USA,DO NOT OWN,"$60,000-$99,999",37
0,YES,YES,Male,Yes Democrat,Not Republican,Democrat,16yrs,USA,OWN RESIDENCE,"$200,000 or more",59
1,YES,YES,Male,Yes Democrat,Not Republican,Democrat,17+yrs,USA,DO NOT OWN,"$150,000-$199,999",31
0,YES,NO,Female,Not Democrat,Yes Republican,Republican,16yrs,USA,OWN RESIDENCE,"$100,000-$149,999",66
0,YES,NO,Male,Not Democrat,Yes Republican,Republican,17+yrs,USA,OWN RESIDENCE,"$100,000-$149,999",75
1,NO,YES,Female,Yes Democrat,Not Republican,Democrat,17+yrs,USA,DO NOT OWN,"$60,000-$99,999",31
0,NO,NO,Male,Not Democrat,Not Republican,Other,17+yrs,USA,OWN RESIDENCE,"$100,000-$149,999",79
0,YES,NO,Male,Not Democrat,Not Republican,Other,17+yrs,USA,OWN RESIDENCE,"$200,000 or more",45
1,YES,YES,Female,Yes Democrat,Not Republican,Democrat,12yrs-15yrs,USA,DO NOT OWN,"$60,000-$99,999",20
0,YES,NO,Male,Not Democrat,Not Republican,Other,16yrs,USA,OWN RESIDENCE,"$100,000-$149,999",25
1,YES,YES,Male,Yes Democrat,Not Republican,Democrat,12yrs-15yrs,USA,DO NOT OWN,"$200,000 or more",21
1,NO,YES,Male,Yes Democrat,Not Republican,Democrat,16yrs,USA,DO NOT OWN,"$60,000-$99,999",28
1,YES,YES,Male,Not Democrat,Not Republican,Other,16yrs,NOT USA,OWN RESIDENCE,"$200,000 or more",41
1,NO,YES,Male,Yes Democrat,Not Republican,Democrat,16yrs,USA,OWN RESIDENCE,"$60,000-$99,999",21
1,YES,NO,Male,Yes Democrat,Not Republican,Democrat,17+yrs,USA,DO NOT OWN,"$150,000-$199,999",33
1,YES,YES,Male,Yes Democrat,Not Republican,Democrat,17+yrs,USA,OWN RESIDENCE,"$150,000-$199,999",48
0,YES,NO,Male,Not Democrat,Yes Republican,Republican,12yrs-15yrs,USA,OWN RESIDENCE,"$100,000-$149,999",39
1,YES,YES,Male,Not Democrat,Not Republican,Other,16yrs,USA,DO NOT OWN,"$200,000 or more",25
0,YES,NO,Female,Not Democrat,Not Republican,Other,16yrs,USA,OWN RESIDENCE,"$150,000-$199,999",42
1,NO,YES,Female,Not Democrat,Not Republican,Other,12yrs-15yrs,USA,DO NOT OWN,"$60,000-$99,999",25
0,NO,NO,Male,Not Democrat,Yes Republican,Republican,12yrs,USA,OWN RESIDENCE,"$60,000-$99,999",37
0,YES,NO,Non_Binary,Not Democrat,Yes Republican,Republican,17+yrs,NOT USA,OWN RESIDENCE,"$200,000 or more",69
0,YES,NO,Male,Not Democrat,Yes Republican,Republican,12yrs-15yrs,USA,OWN RESIDENCE,"$100,000-$149,999",31
0,YES,NO,Male,Not Democrat,Not Republican,Other,12yrs-15yrs,USA,OWN RESIDENCE,"$200,000 or more",23
1,NO,YES,Male,Yes Democrat,Not Republican,Democrat,12yrs-15yrs,NOT USA,DO NOT OWN,"$150,000-$199,999",26
0,NO,NO,Female,Not Democrat,Yes Republican,Republican,12yrs-15yrs,USA,OWN RESIDENCE,"$100,000-$149,999",64
1,YES,NO,Female,Yes Democrat,Not Republican,Democrat,12yrs-15yrs,USA,OWN RESIDENCE,"$200,000 or more",20
1,YES,YES,Female,Yes Democrat,Not Republican,Democrat,12yrs,USA,DO NOT OWN,"$100,000-$149,999",19
0,YES,NO,Male,Not Democrat,Yes Republican,Republican,12yrs-15yrs,USA,DO NOT OWN,"$20,000-$39,999",55
0,YES,NO,Female,Not Democrat,Yes Republican,Republican,12yrs,USA,DO NOT OWN,"$150,000-$199,999",61
1,YES,YES,Male,Yes Democrat,Not Republican,Democrat,17+yrs,NOT USA,OWN RESIDENCE,"$150,000-$199,999",47
1,YES,NO,Male,Yes Democrat,Not Republican,Democrat,17+yrs,USA,OWN RESIDENCE,"$20,000-$39,999",75
1,NO,NO,Male,Yes Democrat,Not Republican,Democrat,16yrs,NOT USA,OWN RESIDENCE,"$200,000 or more",57
0,YES,NO,Female,Not Democrat,Yes Republican,Republican,12yrs-15yrs,USA,DO NOT OWN,"$20,000-$39,999",78
1,NO,NO,Female,Yes Democrat,Not Republican,Democrat,12yrs-15yrs,USA,DO NOT OWN,"$60,000-$99,999",57
1,YES,NO,Female,Not Democrat,Not Republican,Other,17+yrs,USA,OWN RESIDENCE,"$60,000-$99,999",79
0,NO,YES,Male,Not Democrat,Yes Republican,Republican,12yrs-15yrs,USA,OWN RESIDENCE,"$100,000-$149,999",64
1,YES,YES,Female,Yes Democrat,Not Republican,Democrat,17+yrs,USA,DO NOT OWN,"$60,000-$99,999",42
0,YES,NO,Female,Not Democrat,Not Republican,Other,16yrs,USA,DO NOT OWN,"$200,000 or more",25
0,YES,NO,Female,Not Democrat,Yes Republican,Republican,12yrs-15yrs,USA,DO NOT OWN,"$60,000-$99,999",33
1,YES,NO,Male,Not Democrat,Not Republican,Other,12yrs-15yrs,USA,DO NOT OWN,"Less than $20,000",61
1,NO,YES,Female,Yes Democrat,Not Republican,Democrat,16yrs,USA,OWN RESIDENCE,"$150,000-$199,999",28
1,NO,NO,Male,Yes Democrat,Not Republican,Democrat,16yrs,NOT USA,OWN RESIDENCE,"$60,000-$99,999",54
0,YES,NO,Male,Not Democrat,Yes Republican,Republican,16yrs,USA,OWN RESIDENCE,"$150,000-$199,999",76
0,NO,NO,Female,Yes Democrat,Not Republican,Democrat,12yrs-15yrs,USA,OWN RESIDENCE,"$100,000-$149,999",36
1,YES,NO,Female,Not Democrat,Not Republican,Other,17+yrs,USA,OWN RESIDENCE,"$200,000 or more",73
1,NO,NO,Male,Yes Democrat,Not Republican,Democrat,12yrs,USA,OWN RESIDENCE,"$20,000-$39,999",71
0,YES,NO,Female,Not Democrat,Yes Republican,Republican,17+yrs,USA,OWN RESIDENCE,"$100,000-$149,999",68
1,YES,YES,Female,Yes Democrat,Not Republican,Democrat,16yrs,USA,OWN RESIDENCE,"$100,000-$149,999",61
1,YES,NO,Female,Not Democrat,Not Republican,Other,16yrs,USA,DO NOT OWN,"$100,000-$149,999",26
0,YES,NO,Female,Not Democrat,Yes Republican,Republican,16yrs,USA,OWN RESIDENCE,"$100,000-$149,999",29
0,YES,NO,Male,Not Democrat,Yes Republican,Republican,12yrs-15yrs,USA,OWN RESIDENCE,"$150,000-$199,999",66
1,NO,NO,Female,Yes Democrat,Not Republican,Democrat,12yrs,USA,DO NOT OWN,"$100,000-$149,999",55
0,NO,NO,Female,Not Democrat,Yes Republican,Republican,12yrs-15yrs,USA,OWN RESIDENCE,"$100,000-$149,999",39
