...1,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
2851,51c94ac31swyDQj9B3Lzs3,Deftones,White Pony,Change (In the House of Flies),77,299533,FALSE,0.269,0.853,7,-4.647,0,0.0854,2.49e-4,2.46e-4,0.118,0.179,141.581,4,alt-rock
2852,3YuaBvuZqcwN3CEAyyoaei,Audioslave,Audioslave,Like a Stone,78,293960,FALSE,0.614,0.568,7,-5.477,0,0.0276,0.00797,0,0.0997,0.516,107.849,4,alt-rock
2854,5FZxsHWIvUsmSK1IAvm2pp,Foo Fighters,In Your Honor,Best of You,76,255626,FALSE,0.366,0.94,1,-5.119,0,0.0696,7.69e-4,9.42e-5,0.188,0.369,130.198,4,alt-rock
2917,27L8sESb3KR79asDUBu8nW,Fountains Of Wayne,Welcome Interstate Managers,Stacy's Mom,76,197986,FALSE,0.774,0.75,11,-4.927,0,0.0412,0.00207,1.78e-5,0.0808,0.927,118.015,4,alt-rock
2953,4dyx5SzxPPaD8xQIid5Wjj,Peter Bjorn and John,Writer's Block,Young Folks,76,276693,FALSE,0.699,0.812,0,-6.005,1,0.0377,0.0164,7.63e-4,0.105,0.662,138.185,4,alt-rock
2958,6QewNVIDKdSl8Y3ycuHIei,Pearl Jam,Ten,Even Flow,76,292580,FALSE,0.394,0.944,10,-6.506,0,0.0761,0.00178,4.54e-6,0.298,0.265,105.338,4,alt-rock
2961,2bPGTMB5sFfFYQ2YvSmup0,Rammstein,Rammstein,Deutschland,77,322339,FALSE,0.521,0.895,7,-5.242,1,0.0442,5.54e-5,0.349,0.0985,0.237,120.117,4,alt-rock
3001,09gysnJpfQ3ublBmJDfcEC,Amaarae;Kali Uchis;Moliy,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),79,204763,TRUE,0.87,0.523,1,-8.052,0,0.0602,0.433,2.07e-5,0.113,0.319,110.02,4,alternative
3004,4fouWK6XVHhzl78KzQ1UjL,GAYLE,abcdefu,abcdefu,86,168601,TRUE,0.695,0.54,4,-5.692,1,0.0493,0.299,0,0.367,0.415,121.932,4,alternative
3005,07MDkzWARZaLEdKxo6yArG,THE ANXIETY;WILLOW;Tyler Cole,THE ANXIETY,Meet Me At Our Spot,81,162680,TRUE,0.773,0.47,2,-7.93,1,0.0299,0.0153,1.93e-4,0.0851,0.399,94.995,4,alternative
3006,60a0Rd6pjrkxjPbaKzXjfq,Linkin Park,Hybrid Theory (Bonus Edition),In the End,85,216880,FALSE,0.556,0.864,3,-5.87,0,0.0584,0.00958,0,0.209,0.4,105.143,4,alternative
3007,2nLtzopw4rPReszdYBJU6h,Linkin Park,Meteora,Numb,83,185586,FALSE,0.496,0.863,9,-4.153,1,0.0381,0.0046,0,0.639,0.243,110.018,4,alternative
3008,7BoobGhD4x5K96Me0hqC8Q,Bella Poarch,Build a Bitch,Build a Bitch,76,122772,TRUE,0.855,0.463,3,-7.454,1,0.0367,0.217,1.77e-5,0.347,0.866,102.931,4,alternative
3009,0eu4C55hL6x29mmeAjytzC,Oliver Tree,"Ugly is Beautiful: Shorter, Thicker & Uglier (Deluxe)",Life Goes On,79,161803,FALSE,0.7,0.49,0,-5.187,1,0.076,0.186,0,0.117,0.569,79.982,4,alternative
3208,26ZzSLUJMmYp5u1hDELEWH,Crystal Castles,(III),Transgender,76,184760,FALSE,0.522,0.914,7,-8.285,1,0.0379,1.64e-4,0.847,0.24,0.0364,137.939,3,alternative
3219,6IbnUaczZBT34DhaD6S18F,MARINA,Electra Heart (Deluxe),Bubblegum Bitch,78,154666,TRUE,0.495,0.856,0,-5.123,0,0.0311,2.19e-4,0,0.103,0.609,158.024,4,alternative
3253,64dLd6rVqDLtkXFYrEUHIU,Gorillaz;Tame Impala;Bootie Brown,New Gold (feat. Tame Impala and Bootie Brown),New Gold (feat. Tame Impala and Bootie Brown),82,215149,TRUE,0.695,0.923,1,-3.93,0,0.0522,0.0425,0.0469,0.116,0.551,108.014,3,alternative
3255,0d28khcov6AiegSCpG5TuT,Gorillaz,Demon Days,Feel Good Inc.,84,222640,FALSE,0.818,0.705,6,-6.679,1,0.177,0.00836,0.00233,0.613,0.772,138.559,4,alternative
3256,2DlHlPMa4M17kufBvI2lEN,System Of A Down,Toxicity,Chop Suey!,83,210240,FALSE,0.417,0.934,7,-3.908,0,0.119,2.78e-4,0.0015,0.132,0.287,127.066,4,alternative
3262,3K4HG9evC7dg3N0R9cYqk4,Linkin Park,Hybrid Theory (Bonus Edition),One Step Closer,78,157333,FALSE,0.492,0.969,9,-4.419,1,0.0491,0.0014,1.32e-6,0.0787,0.538,95.136,4,alternative
3263,4Yf5bqU3NK4kNOypcrLYwU,Linkin Park,Meteora,Faint,77,162600,FALSE,0.554,0.978,4,-3.554,1,0.131,0.111,0,0.0731,0.594,135.095,4,alternative
3305,1foMv2HQwfQ2vntFf9HFeG,Gorillaz,Plastic Beach,Rhinestone Eyes,80,200173,FALSE,0.676,0.703,8,-5.815,0,0.0302,0.0869,6.87e-4,0.0463,0.852,92.761,4,alternative
3311,57BrRMwf9LrcmuOsyGilwr,Linkin Park,Hybrid Theory (Bonus Edition),Crawling,76,208960,FALSE,0.58,0.702,4,-5.565,1,0.0337,0.0466,3.2e-6,0.536,0.299,105.076,4,alternative
3454,0snQkGI5qnAmohLE7jTsTn,System Of A Down,Toxicity,Toxicity,81,218933,FALSE,0.413,0.873,8,-4.151,1,0.0536,2.64e-4,0.00249,0.204,0.48,116.68,3,alternative
3500,4UGvqm3e7UElrrriPtnhwz,Genevieve Stokes,Habits,Habits,76,136733,FALSE,0.663,0.287,9,-9.469,1,0.0344,0.854,6.85e-6,0.346,0.438,82.457,4,alternative
3506,0q6LuUqGLUiCPP1cbdwFs3,Gorillaz,Plastic Beach,On Melancholy Hill,78,233866,FALSE,0.689,0.739,2,-5.81,1,0.026,1.51e-5,0.509,0.064,0.578,120.423,4,alternative
3718,4e9eGQYsOiBcftrWXwsVco,System Of A Down,Toxicity,Aerials,77,235053,FALSE,0.364,0.922,0,-4.217,0,0.0567,9.15e-4,0.0346,0.0697,0.227,79.342,4,alternative
3722,3RAFcUBrCNaboRXoP3S5t1,Slipknot,All Hope Is Gone (10th Anniversary),Psychosocial,76,284120,FALSE,0.568,0.981,2,-3.889,1,0.0887,0.00269,0.00275,0.0243,0.307,135.146,4,alternative
3867,0EYOdF5FCkgOJJla8DI2Md,System Of A Down,Mezmerize,B.Y.O.B.,77,255466,TRUE,0.538,0.981,1,-2.688,0,0.14,0.00662,0,0.219,0.711,101.414,4,alternative
3971,6wqJeItl3Vc3az4ZicSQAB,Slipknot,Vol. 3: The Subliminal Verses,Before I Forget,77,278600,FALSE,0.291,0.974,6,-2.997,0,0.171,0.0177,5.44e-6,0.886,0.348,134.724,4,alternative
4000,1FWsomP9StpCcXNWmJk8Cl,Cigarettes After Sex,Cigarettes After Sex,K.,78,320030,FALSE,0.454,0.4,3,-10.261,1,0.0265,0.139,0.846,0.137,0.327,93.719,4,ambient
4002,0yc6Gst2xkRu0eMLeRMGCX,Cigarettes After Sex,Cigarettes After Sex,Apocalypse,84,290616,FALSE,0.37,0.467,5,-9.013,1,0.0273,0.0205,0.572,0.109,0.182,94.485,4,ambient
4003,3p4hRhMcb6ch8OLtATMaLw,Cigarettes After Sex,Cry,Cry,76,256799,FALSE,0.406,0.399,7,-10.449,1,0.0278,0.756,0.678,0.112,0.163,142.83,4,ambient
4005,0SpkyS1Q4MD8GaVcP5YjT4,Cigarettes After Sex,Cigarettes After Sex,Sunsetz,78,215150,FALSE,0.405,0.479,5,-9.396,1,0.0301,0.0527,0.795,0.0974,0.131,75.37,4,ambient
4015,1BncfTJAWxrsxyT9culBrj,Ludovico Einaudi;Daniel Hope;I Virtuosi Italiani,In A Time Lapse,Experience,79,315426,FALSE,0.447,0.449,2,-10.634,1,0.0376,0.934,0.961,0.0697,0.036,92.468,4,ambient
5002,3khEEPRyBeOUabbmOPJzAG,Kenshi Yonezu,KICK BACK,KICK BACK,83,193495,FALSE,0.577,0.941,1,-5.17,1,0.105,0.00207,3.36e-6,0.0891,0.292,101.921,4,anime
5007,0UzymivvUH5s8z4PeWZJaK,ENHYPEN,BORDER : CARNIVAL,FEVER,77,172106,FALSE,0.6,0.713,6,-5.079,0,0.0592,0.0642,0,0.142,0.471,72.999,4,anime
5021,7v8wKvNQQIxkugCFFjrkaO,Aimer,残響散歌,残響散歌,77,184893,FALSE,0.367,0.896,11,-4.002,1,0.091,6.27e-4,0,0.207,0.38,170.863,4,anime
5022,5elW2CKSoqjYoJ32AGDxf1,ENHYPEN,DIMENSION : ANSWER,Polaroid Love,78,184601,FALSE,0.738,0.67,7,-3.766,0,0.0439,0.458,0,0.361,0.651,138.055,4,anime
5039,6PRy17C5LiiN7VCLS6IA98,ENHYPEN,MANIFESTO : DAY 1,Future Perfect (Pass the MIC),77,180750,FALSE,0.658,0.9,9,-3.479,0,0.264,0.0364,0,0.0771,0.526,156.096,4,anime
8000,5MAK1nd8R6PWnle1Q1WJvh,Everybody Loves an Outlaw,I See Red,I See Red,77,230613,FALSE,0.509,0.448,4,-7.552,0,0.0357,0.00713,0.0137,0.244,0.221,156.909,3,blues
8001,2tznHmp70DxMyr2XhWLOW0,Cage The Elephant,Melophobia,Cigarette Daydreams,79,208760,FALSE,0.636,0.676,2,-3.442,1,0.0263,0.0807,0,0.0831,0.273,113.98,4,blues
8254,5EWPGh7jbTNO2wakv8LjUI,Lynyrd Skynyrd,Pronounced' Leh-'Nerd 'Skin-'Nerd,Free Bird,77,547106,FALSE,0.249,0.834,0,-8.21,1,0.0577,0.0738,9.48e-5,0.0924,0.338,118.223,4,blues
8259,2QfiRTz5Yc8DdShCxG1tB2,Chuck Berry,Berry Is On Top,Johnny B. Goode,76,161560,FALSE,0.534,0.803,10,-9.129,1,0.0743,0.741,6.07e-5,0.307,0.969,167.983,4,blues
8260,2aoo2jlRnM3A0NyLQqMN2f,Jimi Hendrix,Electric Ladyland,All Along the Watchtower,77,240800,FALSE,0.438,0.805,8,-6.237,1,0.0624,0.00255,5.69e-5,0.0842,0.564,113.253,4,blues
8263,70YvYr2hGlS01bKRIho1HM,ZZ Top,Tres Hombres (Expanded 2006 Remaster),La Grange - 2005 Remaster,77,230480,FALSE,0.545,0.64,4,-9.937,0,0.224,0.00249,0.0304,0.196,0.606,80.544,4,blues
8265,3qiyyUfYe7CRYLucrPmulD,The Who,Who's Next (Deluxe Edition),Baba O'Riley,76,300400,FALSE,0.489,0.724,5,-8.367,1,0.0352,0.313,0.185,0.287,0.15,117.292,4,blues
8309,1qRA5BS78u3gME0loMl9AA,Buffalo Springfield,Buffalo Springfield,For What It's Worth,78,153693,FALSE,0.653,0.519,2,-10.164,1,0.0497,0.406,0.0209,0.101,0.822,98.883,4,blues
8365,5QTxFnGygVM4jFQiBovmRo,Blue Öyster Cult,Agents Of Fortune,(Don't Fear) The Reaper,76,308120,FALSE,0.333,0.927,9,-8.55,0,0.0733,0.0029,2.08e-4,0.297,0.385,141.466,4,blues
8423,3zBhihYUHBmGd2bcQIobrF,Otis Redding,The Dock of the Bay (Mono),(Sittin' On) the Dock of the Bay,76,163755,FALSE,0.769,0.367,2,-11.226,1,0.0312,0.684,1.62e-5,0.081,0.535,103.621,4,blues
8533,7Ar4G7Ci11gpt6sfH9Cgz5,The Doobie Brothers,Toulouse Street,Listen to the Music,76,227266,FALSE,0.645,0.598,1,-13.18,0,0.0335,0.221,3.53e-6,0.0721,0.913,105.929,4,blues
9000,6GomT970rCOkKAyyrwJeZi,Öwnboss;Sevek,Move Your Body,Move Your Body,82,157444,FALSE,0.848,0.821,2,-5.408,0,0.0527,0.0169,4.03e-4,0.0962,0.249,125.051,4,brazil
11000,0DuWDLjriRPjDRoPgaCslY,Adele,25,Love In The Dark,78,285935,FALSE,0.331,0.341,9,-6.057,0,0.0309,0.528,0,0.109,0.152,109.821,4,british
11001,3di5hcvxxciiqwMH1jarhY,Adele,21,Set Fire to the Rain,80,242973,FALSE,0.603,0.67,2,-3.882,0,0.0249,0.00408,1.68e-6,0.112,0.446,107.993,4,british
11003,0gplL1WMoJ6iYaPgMCL0gX,Adele,Easy On Me,Easy On Me,85,224694,FALSE,0.604,0.366,5,-7.519,1,0.0282,0.578,0,0.133,0.13,141.981,4,british
11005,6VObnIkLVruX4UVyxWhlqm,Adele,Skyfall,Skyfall,78,286480,FALSE,0.346,0.552,0,-6.864,0,0.0282,0.417,0,0.114,0.0789,75.881,4,british
11006,6O5TrlFWTYvznd9fMC0VvU,Adele,25,When We Were Young,79,290900,FALSE,0.376,0.595,3,-5.936,1,0.0496,0.303,0,0.095,0.265,144.361,4,british
11007,3Kkjo3cT83cw09VJyrLNwX,Adele,30,Oh My God,82,225148,FALSE,0.534,0.725,1,-3.906,1,0.046,0.091,0,0.0264,0.55,88.098,4,british
11008,4OSBTYWVwsQhGLF9NHvIbR,Adele,21,Rolling in the Deep,81,228093,TRUE,0.73,0.769,8,-5.114,1,0.0298,0.138,0,0.0473,0.507,104.948,4,british
11012,48CKzGWOC65n8a8kdANJV8,Paloma Faith,Only Love Can Hurt Like This (Slowed Down Version),Only Love Can Hurt Like This - Slowed Down Version,77,257743,FALSE,0.554,0.854,6,-6.263,0,0.0567,0.102,9.26e-5,0.554,0.387,82.012,4,british
11013,4IhTXiZLKATmwhMZIb1GQN,Tom Rosenthal,Z-Sides,Lights Are On,81,193749,FALSE,0.44,0.04,3,-16.887,1,0.0322,0.981,0.465,0.111,0.249,135.965,4,british
11015,3FAclTFfvUuQYnEsptbK8w,Amy Winehouse,Back To Black (Deluxe Edition),Back To Black,81,241293,TRUE,0.403,0.422,7,-13.964,0,0.0373,0.134,2.05e-5,0.0861,0.378,122.728,4,british
11016,6dGnYIeXmHdcikdzNNDMm2,The Beatles,Abbey Road (Remastered),Here Comes The Sun - Remastered 2009,82,185733,FALSE,0.557,0.54,9,-10.484,1,0.0347,0.0339,0.00248,0.179,0.394,129.171,4,british
11017,3BQHpFgAp4l80e1XslIjNI,The Beatles,Help! (Remastered),Yesterday - Remastered 2009,76,125666,FALSE,0.332,0.179,5,-11.83,1,0.0326,0.879,0,0.0886,0.315,96.529,4,british
11018,7iN1s7xHE4ifF5povM6A48,The Beatles,Let It Be (Remastered),Let It Be - Remastered 2009,77,243026,FALSE,0.443,0.403,0,-8.339,1,0.0322,0.631,0,0.111,0.41,143.462,4,british
11055,2EqlS6tkEnglzr7tkKAAYD,The Beatles,Abbey Road (Remastered),Come Together - Remastered 2009,77,259946,FALSE,0.533,0.376,9,-11.913,0,0.0393,0.0302,0.248,0.0926,0.187,165.007,4,british
11069,2PzU4IB8Dr6mxV3lHuaG34,The Rolling Stones,Out Of Our Heads,(I Can't Get No) Satisfaction - Mono Version,77,222813,FALSE,0.723,0.863,2,-7.89,1,0.0338,0.0383,0.0317,0.128,0.931,136.302,4,british
11071,7mjSHL2Eb0kAwiKbvNNyD9,Yusuf / Cat Stevens,Tea For The Tillerman (Remastered 2020),Wild World,77,200560,FALSE,0.48,0.542,0,-8.51,1,0.0348,0.345,6.09e-4,0.113,0.567,152.853,4,british
13000,4IlqQhaxrGPxmg35YcXXuS,Aaron Smith;Luvli;Krono,Ibiza 2019,Dancin - Krono Remix,76,256000,FALSE,0.751,0.727,10,-9.789,0,0.0304,0.0442,0.0338,0.1,0.28,119.982,4,chicago-house
